Type,index,HBA,Smiles1,CAS_HBA,molar1,HBD,Smiles2,CAS_HBD,molar2,Set,T/K,Viscosity,Log viscosity,Smiles,,group,HBA Count1,HBD Count1,HBA Count2,HBD Count2,,Normal_T
III,18,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,"1,2,4-Triazole",C1=NC=NN1,288-88-0,0.5,training,303.15,304.69,5.72,CC(=O)OCC[N+](C)(C)C.[Cl-].C1=NC=NN1,.,17,2,0,2,1,,-0.768514271
III,19,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,"1,2,4-Triazole",C1=NC=NN1,288-88-0,0.5,training,323.15,83.06,4.42,CC(=O)OCC[N+](C)(C)C.[Cl-].C1=NC=NN1,.,17,2,0,2,1,,0.215380757
III,20,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,"1,2,4-Triazole",C1=NC=NN1,288-88-0,0.5,training,333.15,46.48,3.84,CC(=O)OCC[N+](C)(C)C.[Cl-].C1=NC=NN1,.,17,2,0,2,1,,0.707328271
III,21,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,"1,2,4-Triazole",C1=NC=NN1,288-88-0,0.5,training,373.15,8.37,2.12,CC(=O)OCC[N+](C)(C)C.[Cl-].C1=NC=NN1,.,17,2,0,2,1,,2.675118328
III,22,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,57-48-7,0.5,training,298.15,1380.1,7.23,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,.,19,2,0,6,5,,-1.014488028
III,23,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,57-48-7,0.5,training,303.15,845.74,6.74,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,.,19,2,0,6,5,,-0.768514271
III,24,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,57-48-7,0.5,training,308.15,357.53,5.88,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,.,19,2,0,6,5,,-0.522540514
III,25,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,57-48-7,0.5,training,323.15,124.93,4.83,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,.,19,2,0,6,5,,0.215380757
III,26,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,57-48-7,0.5,training,328.15,70.17,4.25,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,.,19,2,0,6,5,,0.461354514
III,27,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,57-48-7,0.5,training,338.15,42.78,3.76,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,.,19,2,0,6,5,,0.953302028
III,28,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-fructose,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,57-48-7,0.5,training,343.15,27.97,3.33,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,.,19,2,0,6,5,,1.199275785
III,29,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,50-99-7,0.5,training,298.15,1066.43,6.97,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,.,16,2,0,6,5,,-1.014488028
III,30,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,50-99-7,0.5,training,303.15,671.82,6.51,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,.,16,2,0,6,5,,-0.768514271
III,31,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,50-99-7,0.5,training,313.15,297.18,5.69,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,.,16,2,0,6,5,,-0.276566757
III,32,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,50-99-7,0.5,training,318.15,207.44,5.33,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,.,16,2,0,6,5,,-0.030593
III,33,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,50-99-7,0.5,training,328.15,109.7,4.7,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,.,16,2,0,6,5,,0.461354514
III,34,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,50-99-7,0.5,training,333.15,82.68,4.41,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,.,16,2,0,6,5,,0.707328271
III,35,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,50-99-7,0.5,training,343.15,49.9,3.91,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,.,16,2,0,6,5,,1.199275785
III,36,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,50-99-7,0.5,training,348.15,39.78,3.68,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,.,16,2,0,6,5,,1.445249542
III,37,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,3458-28-4,0.5,training,298.15,3823.73,8.25,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,.,15,2,0,6,5,,-1.014488028
III,38,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,3458-28-4,0.5,training,303.15,2190.03,7.69,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,.,15,2,0,6,5,,-0.768514271
III,39,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,3458-28-4,0.5,training,313.15,823.64,6.71,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,.,15,2,0,6,5,,-0.276566757
III,40,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,3458-28-4,0.5,training,318.15,535.63,6.28,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,.,15,2,0,6,5,,-0.030593
III,41,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,3458-28-4,0.5,training,333.15,250.84,5.52,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,.,15,2,0,6,5,,0.707328271
III,42,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,3458-28-4,0.5,training,338.15,179.45,5.19,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,.,15,2,0,6,5,,0.953302028
III,43,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,3458-28-4,0.5,training,348.15,99.03,4.6,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,.,15,2,0,6,5,,1.445249542
